传输ID,传输通道名称,站点因子ID,平台因子ID,数值格式,单位转化K,单位转化B
1,dtsch_1,U000001,w01001,N5.0,1,0
1,dtsch_1,U000153,w01003,N5.0,1,0
1,dtsch_1,U000004,w01010,N5.0,1,0
1,dtsch_1,U000005,w01009,N2.1,1,0
1,dtsch_1,U000006,w01014,N5.0,1,0
1,dtsch_1,U000016,w01019,N5.0,1,0
1,dtsch_1,U000060,w21003,N5.0,1,0
1,dtsch_1,U000065,w21001,N3.1,1,0
1,dtsch_1,U000101,w21011,N3.1,1,0
1,dtsch_1,U000081,w01016,N3.1,1,0
1,dtsch_1,U000274,w01022,N3.1,1,0
